City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
135,Lichuan,CN,2022-09-15 15:18:10,30.3,108.85,62.87,83,93,1.66,overcast clouds
136,Kardailovo,RU,2022-09-15 15:18:11,51.5386,53.9042,65.12,40,99,9.86,overcast clouds
137,Arraial Do Cabo,BR,2022-09-15 15:18:11,-22.9661,-42.0278,69.76,94,100,9.22,light intensity drizzle
138,Sinnamary,GF,2022-09-15 15:18:12,5.3833,-52.95,87.21,61,98,11.03,overcast clouds
139,Morant Bay,JM,2022-09-15 15:18:13,17.8815,-76.4093,90.72,68,97,11.1,overcast clouds
140,Thompson,CA,2022-09-15 15:18:13,55.7435,-97.8558,48.36,93,75,5.75,broken clouds
141,Yarkovo,RU,2022-09-15 15:18:14,57.4028,67.0786,53.73,60,51,5.91,broken clouds
142,Road Town,VG,2022-09-15 15:14:28,18.4167,-64.6167,87.89,84,40,9.22,scattered clouds
143,Acapulco,MX,2022-09-15 15:18:15,16.8634,-99.8901,82.22,74,100,4.61,overcast clouds
144,Dalvik,IS,2022-09-15 15:18:15,65.9702,-18.5286,48.13,55,0,4.12,clear sky
145,Pangnirtung,CA,2022-09-15 15:18:15,66.1451,-65.7125,42.8,87,75,16.11,broken clouds
146,San Patricio,US,2022-09-15 15:18:16,28.017,-97.5169,85.89,69,12,8.12,few clouds
147,Waipawa,NZ,2022-09-15 15:18:16,-41.4122,175.5153,38.48,85,1,3.04,clear sky
148,Vila Franca Do Campo,PT,2022-09-15 15:18:17,37.7167,-25.4333,75.61,82,99,14.41,light rain
149,Airai,TL,2022-09-15 15:18:17,-8.9266,125.4092,58.71,78,50,2.28,scattered clouds
150,Marakkanam,IN,2022-09-15 15:18:18,12.2,79.95,83.82,78,100,12.57,overcast clouds
151,Kruisfontein,ZA,2022-09-15 15:18:18,-34.0033,24.7314,67.89,65,86,10.25,overcast clouds
152,Camacha,PT,2022-09-15 15:18:19,33.0833,-16.3333,74.62,78,20,11.5,few clouds
153,Lubao,PH,2022-09-15 15:18:19,14.9167,120.55,82.11,85,97,4.81,overcast clouds
